Mortal Kombat,2021,,
Mad God,2021,,
House of Wax,2005,,
American Honey,2016,,
Drag Me to Hell,2009,,
Hancock,2008,,
The Bourne Ultimatum,2007,,
The Danish Girl,2015,,
Four Weddings and a Funeral,1994,,
Zola,2020,,
Scooby-Doo 2: Monsters Unleashed,2004,,
Weathering with You,2019,,
Zero Dark Thirty,2012,,
The Muppets,2011,,
Big Trouble in Little China,1986,,
Nymphomaniac: Vol. I,2013,,
The Woman King,2022,,
Warm Bodies,2013,,
The Fate of the Furious,2017,,
Primer,2004,,
Dumbo,1941,,
Ma,2019,,
Addams Family Values,1993,,
Speed Racer,2008,,
Silent Hill,2006,,
Where the Wild Things Are,2009,,
The Cat Returns,2002,,
You're Next,2011,,
Saw IV,2007,,
In a Violent Nature,2024,,
Ring,1998,,
Madagascar 3: Europe's Most Wanted,2012,,
Babel,2006,,
Escape Room,2019,,
The Omen,1976,,
Fast & Furious Presents: Hobbs & Shaw,2019,,
Fantastic Four: Rise of the Silver Surfer,2007,,
Darkest Hour,2017,,
Jungle Cruise,2021,,
The Naked Gun: From the Files of Police Squad!,1988,,
Ella Enchanted,2004,,
Tusk,2014,,
Rocky II,1979,,
Bad Boys,1995,,
Pixels,2015,,
Apollo 13,1995,,
Pulse,2001,,
Star Trek Into Darkness,2013,,
The Chronicles of Narnia: Prince Caspian,2008,,
Sing 2,2021,,
Ambulance,2022,,
Southpaw,2015,,
A Knight's Tale,2001,,
The Night House,2020,,
Donnie Brasco,1997,,
Insurgent,2015,,
Chip 'n Dale: Rescue Rangers,2022,,
Bride Wars,2009,,
Dredd,2012,,
Not Okay,2022,,
Monsters vs Aliens,2009,,
Brothers,2009,,
Final Destination 3,2006,,
Wedding Crashers,2005,,
Showgirls,1995,,
The Last Samurai,2003,,
Sully,2016,,
Watcher,2022,,
Stardust,2007,,
To All the Boys: P.S. I Still Love You,2020,,
Anna Karenina,2012,,
Insidious: The Red Door,2023,,
Mr. Nobody,2009,,
Event Horizon,1997,,
The New Mutants,2020,,
In the Mouth of Madness,1994,,
Stoker,2013,,
Ghost,1990,,
Only God Forgives,2013,,
Rocky IV,1985,,
Strange Darling,2023,,
Scary Stories to Tell in the Dark,2019,,
Kingdom of Heaven,2005,,
We're All Going to the World's Fair,2021,,
Cube,1997,,
Walk the Line,2005,,
Predestination,2014,,
Upgraded,2024,,
Contact,1997,,
Everybody Wants Some!!,2016,,
The Ministry of Ungentlemanly Warfare,2024,,
Tag,2018,,
Orphan: First Kill,2022,,
Bridge of Spies,2015,,
A Cure for Wellness,2016,,
Oblivion,2013,,
Hot Rod,2007,,
Re-Animator,1985,,
Space Jam: A New Legacy,2021,,
The Age of Innocence,1993,,
Ricky Stanicky,2024,,
Focus,2015,,
Kick-Ass 2,2013,,
Beverly Hills Cop,1984,,
Gia,1998,,
Halloween II,1981,,
A Walk to Remember,2002,,
He's Just Not That Into You,2009,,
Armageddon,1998,,
Insidious: Chapter 2,2013,,
Knocked Up,2007,,
Miller's Girl,2024,,
The Two Popes,2019,,
Final Destination 2,2003,,
The Lego Movie 2: The Second Part,2019,,
Ted 2,2015,,
The Pale Blue Eye,2022,,
Bombshell,2019,,
Sick of Myself,2022,,
Tetris,2023,,
"Planes, Trains and Automobiles",1987,,
The Bourne Supremacy,2004,,
Ingrid Goes West,2017,,
Cloud Atlas,2012,,
There's Something About Mary,1998,,
Diary of a Wimpy Kid: Rodrick Rules,2011,,
Hocus Pocus 2,2022,,
Emily the Criminal,2022,,
Venom: The Last Dance,2024,,
The Boss Baby,2017,,
The Road to El Dorado,2000,,
Annabelle: Creation,2017,,
Talladega Nights: The Ballad of Ricky Bobby,2006,,
The Bad Guys,2022,,
My Girl,1991,,
Into the Woods,2014,,
Don't Look Now,1973,,
Wayne's World,1992,,
All the Bright Places,2020,,
Pi,1998,,
Blazing Saddles,1974,,
Uglies,2024,,
Annette,2021,,
Brick,2005,,
The Dead Don't Die,2019,,
Disturbia,2007,,
Never Let Me Go,2010,,
The Artist,2011,,
House of 1000 Corpses,2003,,
Footloose,1984,,
Da 5 Bloods,2020,,
Scary Movie 2,2001,,
The Woman in the Window,2021,,
Weird: The Al Yankovic Story,2022,,
Idiocracy,2006,,
Am I OK?,2022,,
Murder Mystery 2,2023,,
The Meyerowitz Stories (New and Selected),2017,,
Robin Hood,1973,,
Joy Ride,2023,,
Pieces of a Woman,2020,,
Unfriended,2014,,
Confessions of a Shopaholic,2009,,
Christopher Robin,2018,,
Dawn of the Dead,2004,,
Saw V,2008,,
Good Boys,2019,,
Host,2020,,
Resident Evil,2002,,
Sideways,2004,,
Rocky III,1982,,
Remember the Titans,2000,,
Austin Powers: The Spy Who Shagged Me,1999,,
Black Hawk Down,2001,,
Parallel Mothers,2021,,
Kiss Kiss Bang Bang,2005,,
The DUFF,2015,,
The NeverEnding Story,1984,,
My Big Fat Greek Wedding,2002,,
Saturday Night,2024,,
The Hunt,2020,,
Adventureland,2009,,
65,2023,,
"Extremely Wicked, Shockingly Evil and Vile",2019,,
D.E.B.S.,2004,,
Demolition,2015,,
American Graffiti,1973,,
Rebel Ridge,2024,,
The Wonder,2022,,
Funny Games,2007,,
The Hand of God,2021,,
Pink Flamingos,1972,,
Hotel Transylvania 2,2015,,
Swallow,2019,,
End of Watch,2012,,
Casper,1995,,
Bad Boys: Ride or Die,2024,,
Coming to America,1988,,
Jeepers Creepers,2001,,
Lake Mungo,2008,,
Ichi the Killer,2001,,
Spaceballs,1987,,
The Phantom of the Opera,2004,,
Eileen,2023,,
Entergalactic,2022,,
Zathura: A Space Adventure,2005,,
The Boogeyman,2023,,
Locke,2013,,
Wish,2023,,
Bone Tomahawk,2015,,
Belladonna of Sadness,1973,,
Real Steel,2011,,
Kimi,2022,,
Rebel Moon – Part One: A Child of Fire,2023,,
My Policeman,2022,,
Sucker Punch,2011,,
The Grinch,2018,,
Big Daddy,1999,,
Empire Records,1995,,
Tremors,1990,,
The Mummy Returns,2001,,
The Girl on the Train,2016,,
Green Lantern,2011,,
Dark Waters,2019,,
Baywatch,2017,,
Love,2015,,
Spiral: From the Book of Saw,2021,,
T2 Trainspotting,2017,,
Bob Marley: One Love,2024,,
The Fountain,2006,,
As Good as It Gets,1997,,
Bend It Like Beckham,2002,,
Hubie Halloween,2020,,
The Exorcist: Believer,2023,,
Goldfinger,1964,,
Killer Klowns from Outer Space,1988,,
Fast Times at Ridgemont High,1982,,
Happy Death Day 2U,2019,,
Guy Ritchie's The Covenant,2023,,
Jarhead,2005,,
Sky High,2005,,
Color Out of Space,2019,,
Widows,2018,,
Tarot,2024,,
The Accountant,2016,,
Red Dragon,2002,,
Secretary,2002,,
Cats,2019,,
Pitch Perfect 3,2017,,
A Goofy Movie,1995,,
Ghostbusters II,1989,,
Christine,1983,,
1408,2007,,
The Square,2017,,
Saw VI,2009,,
Lights Out,2016,,
Apocalypto,2006,,
Ice Age: Continental Drift,2012,,
Jigsaw,2017,,
The Fog,1980,,
Transformers: Age of Extinction,2014,,
A Beautiful Day in the Neighborhood,2019,,
Holidate,2020,,
The House Bunny,2008,,
Marley & Me,2008,,
Paul,2011,,
The Card Counter,2021,,
Pretty in Pink,1986,,
The Squid and the Whale,2005,,
Underwater,2020,,
Sleepaway Camp,1983,,
No Strings Attached,2011,,
Garden State,2004,,
The Pope's Exorcist,2023,,
Revenge,2017,,
Passages,2023,,
Hostel,2005,,
A Christmas Carol,2009,,
Elysium,2013,,
Star Trek Beyond,2016,,
Spirit: Stallion of the Cimarron,2002,,
Revolutionary Road,2008,,
Hannah Montana: The Movie,2009,,
Ghost Rider,2007,,
Camp Rock,2008,,
Dirty Harry,1971,,
Dracula,1931,,
The Gift,2015,,
Falling Down,1993,,
IF,2024,,
Remember Me,2010,,
Friday the 13th Part 2,1981,,
A Christmas Story,1983,,
Die Hard With a Vengeance,1995,,
Aquamarine,2006,,
Spy,2015,,
Little Women,1994,,
Ruby Sparks,2012,,
Not Another Teen Movie,2001,,
Wanted,2008,,
A Rainy Day in New York,2019,,
Letters to Juliet,2010,,
The Sandlot,1993,,
Mary Poppins Returns,2018,,
The Santa Clause,1994,,
Hellraiser,2022,,
Easy Rider,1969,,
Chicken Run: Dawn of the Nugget,2023,,
The Lodge,2019,,
Vicky Cristina Barcelona,2008,,
To All the Boys: Always and Forever,2021,,
The Road,2009,,
Roald Dahl's Matilda the Musical,2022,,
Wendell & Wild,2022,,
Blue Jasmine,2013,,
Superman,1978,,
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,,
Maleficent: Mistress of Evil,2019,,
Scanners,1981,,
Bronson,2008,,
Mona Lisa Smile,2003,,
You Are So Not Invited to My Bat Mitzvah,2023,,
Halloween III: Season of the Witch,1982,,
His House,2020,,
Con Air,1997,,
Ma Rainey's Black Bottom,2020,,
Central Intelligence,2016,,
The Book of Life,2014,,
Lethal Weapon,1987,,
John Tucker Must Die,2006,,
Hitch,2005,,
Van Helsing,2004,,
Trolls,2016,,
Carrie,2013,,
The Old Guard,2020,,
The Last Airbender,2010,,
Die Hard 2,1990,,
Kajillionaire,2020,,
Goodnight Mommy,2014,,
The Little Things,2021,,
Crawl,2019,,
Horton Hears a Who!,2008,,
Incantation,2022,,
Tucker and Dale vs. Evil,2010,,
A Nightmare on Elm Street 3: Dream Warriors,1987,,
A Tale of Two Sisters,2003,,
Alice Through the Looking Glass,2016,,
Hachi: A Dog's Tale,2009,,
True Lies,1994,,
Man on Fire,2004,,
Fractured,2019,,
Pet Sematary,2019,,
Instant Family,2018,,
Extraction 2,2023,,
Under Paris,2024,,
After,2019,,
Tomb Raider,2018,,
Monte Carlo,2011,,
Sisu,2022,,
Ticket to Paradise,2022,,
Velvet Buzzsaw,2019,,
Up in the Air,2009,,
Austin Powers in Goldmember,2002,,
Chappie,2015,,
Annabelle Comes Home,2019,,
The Wedding Singer,1998,,
Valerian and the City of a Thousand Planets,2017,,
Fantastic Four,2015,,
Meet the Fockers,2004,,
Long Shot,2019,,
Creep 2,2017,,
Julie & Julia,2009,,
Kill Your Darlings,2013,,
Nacho Libre,2006,,
Freddy vs. Jason,2003,,
The Girl Next Door,2004,,
Magic Mike,2012,,
Purple Hearts,2022,,
Dr. No,1962,,
Bringing Out the Dead,1999,,
Eurovision Song Contest: The Story of Fire Saga,2020,,
Krampus,2015,,
Lemonade Mouth,2011,,
The Eyes of Tammy Faye,2021,,
Lolita,1997,,
Lord of War,2005,,
Blade II,2002,,
In the Tall Grass,2019,,
Marrowbone,2017,,
Saturday Night Fever,1977,,
Monster,2003,,
Stranger Than Fiction,2006,,
The Last of the Mohicans,1992,,
AVP: Alien vs. Predator,2004,,
Ghost in the Shell,2017,,
The Emoji Movie,2017,,
Imagine Me & You,2005,,
9,2009,,
The Sea Beast,2022,,
Legend,2015,,
The Apprentice,2024,,
The Purge: Anarchy,2014,,
James and the Giant Peach,1996,,
To Die For,1995,,
Reality,2023,,
Hulk,2003,,
What Happened to Monday,2017,,
Public Enemies,2009,,
Benedetta,2021,,
The Abyss,1989,,
Saw 3D,2010,,
Following,1998,,
Rush Hour 2,2001,,
While You Were Sleeping,1995,,
Anchorman 2: The Legend Continues,2013,,
Haunted Mansion,2023,,
Broker,2022,,
The Good Nurse,2022,,
The Miseducation of Cameron Post,2018,,
Gone Baby Gone,2007,,
Mad Max Beyond Thunderdome,1985,,
Men in Black: International,2019,,
"Good Morning, Vietnam",1987,,
3:10 to Yuma,2007,,
I Lost My Body,2019,,
The Beach,2000,,
The Babysitter: Killer Queen,2020,,
Big Eyes,2014,,
The Tomorrow War,2021,,
28 Weeks Later,2007,,
Oddity,2024,,
GoldenEye,1995,,
Brightburn,2019,,
Friday,1995,,
Allegiant,2016,,
Bad Boys for Life,2020,,
Road to Perdition,2002,,
Bad Boys II,2003,,
The Happening,2008,,
The Adventures of Sharkboy and Lavagirl,2005,,
Scary Movie 3,2003,,
Sleepers,1996,,
Love at First Sight,2023,,
Pet Sematary,1989,,
Perfume: The Story of a Murderer,2006,,
Frank,2014,,
How to Blow Up a Pipeline,2022,,
Garfield,2004,,
Disobedience,2017,,
A Family Affair,2024,,
Downsizing,2017,,
Say Anything...,1989,,
The Garden of Words,2013,,
The Bob's Burgers Movie,2022,,
Hard Candy,2005,,
Oculus,2013,,
Bros,2022,,
The Platform 2,2024,,
The Kissing Booth 2,2020,,
Always Be My Maybe,2019,,
Willy's Wonderland,2021,,
One Hour Photo,2002,,
Sex and the City,2008,,
The Fox and the Hound,1981,,
eXistenZ,1999,,
The Harder They Fall,2021,,
On the Count of Three,2021,,
The Way Way Back,2013,,
Jack Reacher,2012,,
Burlesque,2010,,
Naked Lunch,1991,,
Hellboy II: The Golden Army,2008,,
Still Alice,2014,,
EO,2022,,
Tinker Tailor Soldier Spy,2011,,
Friday the 13th,2009,,
Blended,2014,,
Fright Night,1985,,
Valentine's Day,2010,,
The Empty Man,2020,,
Spiderhead,2022,,
Red Sparrow,2018,,
Dark City,1998,,
The Purge: Election Year,2016,,
Don Jon,2013,,
The Hitman's Bodyguard,2017,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,,
May,2002,,
Spaceman,2024,,
5 Centimeters per Second,2007,,
Personal Shopper,2016,,
Memoria,2021,,
Velvet Goldmine,1998,,
Thirst,2009,,
Pleasantville,1998,,
Babe,1995,,
The Shallows,2016,,
Dressed to Kill,1980,,
A League of Their Own,1992,,
Home,2015,,
The Rock,1996,,
The Garfield Movie,2024,,
Wrath of Man,2021,,
6 Underground,2019,,
Ocean Waves,1993,,
Evil Does Not Exist,2023,,
Miami Vice,2006,,
Flight,2012,,
Galaxy Quest,1999,,
Triangle,2009,,
Nymphomaniac: Vol. II,2013,,
Terminator 3: Rise of the Machines,2003,,
Final Destination 5,2011,,
Halloween,2007,,
Bride of Chucky,1998,,
Night at the Museum: Secret of the Tomb,2014,,
The Faculty,1998,,
Jingle All the Way,1996,,
Identity,2003,,
The Color of Money,1986,,
"I Love You, Man",2009,,
To the Bone,2017,,
Night Swim,2024,,
The Final Destination,2009,,
Forgotten,2017,,
The Doom Generation,1995,,
Pearl Harbor,2001,,
Hoodwinked!,2005,,
Thelma,2017,,
You People,2023,,
The Return of the Living Dead,1985,,
San Andreas,2015,,
Percy Jackson: Sea of Monsters,2013,,
Daredevil,2003,,
Death Note,2017,,
Get Smart,2008,,
Transformers: The Last Knight,2017,,
The Color Purple,2023,,
NYAD,2023,,
Terminator: Dark Fate,2019,,
Belle,2021,,
The Strangers: Chapter 1,2024,,
Coach Carter,2005,,
Attack the Block,2011,,
Moonfall,2022,,
Munich,2005,,
Enter the Dragon,1973,,
Black Bear,2020,,
Welcome to the Dollhouse,1995,,
Eat Pray Love,2010,,
The Last Voyage of the Demeter,2023,,
Ammonite,2020,,
Triple Frontier,2019,,
National Treasure: Book of Secrets,2007,,
Paul Blart: Mall Cop,2009,,
Tomorrowland,2015,,
The Boy,2016,,
The Equalizer 3,2023,,
Foxcatcher,2014,,
The Other Woman,2014,,
American Made,2017,,
Hell House LLC,2015,,
Jawbreaker,1999,,
Cam,2018,,
To Catch a Thief,1955,,
Deep Water,2022,,
My Fair Lady,1964,,
The Hitchhiker's Guide to the Galaxy,2005,,
V/H/S,2012,,
The Beast,2023,,
Paper Towns,2015,,
The Magnificent Seven,2016,,
Match Point,2005,,
Teen Beach Movie,2013,,
Carnival of Souls,1962,,
Mama,2013,,
Babyteeth,2019,,
Hot Summer Nights,2017,,
Next Goal Wins,2023,,
Planet Terror,2007,,
Reality Bites,1994,,
Blockers,2018,,
Gremlins 2: The New Batch,1990,,
Wild Things,1998,,
Prince of Darkness,1987,,
Speak,2004,,
Road House,1989,,
The Teachers' Lounge,2023,,
Body Double,1984,,
Bridget Jones: The Edge of Reason,2004,,
Fighting with My Family,2019,,
Cheaper by the Dozen,2003,,
Wildlife,2018,,
The Human Centipede (First Sequence),2009,,
Foe,2023,,
The Orphanage,2007,,
On the Rocks,2020,,
From Russia with Love,1963,,
Hard Eight,1996,,
Fences,2016,,
Last Christmas,2019,,
Dolemite Is My Name,2019,,
Risky Business,1983,,
Elvira: Mistress of the Dark,1988,,
Circle,2015,,
Overlord,2018,,
The Call,2020,,
The Predator,2018,,
Sister Act,1992,,
Mud,2012,,
Snow White and the Huntsman,2012,,
Descendants,2015,,
Penguins of Madagascar,2014,,
Masculin Féminin,1966,,
I Origins,2014,,
Shakespeare in Love,1998,,
SLC Punk,1998,,
Never Been Kissed,1999,,
Dope,2015,,
He's All That,2021,,
Man on the Moon,1999,,
The Texas Chainsaw Massacre 2,1986,,
Oz the Great and Powerful,2013,,
The Italian Job,2003,,
The Equalizer 2,2018,,
Friday the 13th: The Final Chapter,1984,,
Noah,2014,,
Joy,2015,,
Alvin and the Chipmunks: The Squeakquel,2009,,
Crush,2022,,
A Scanner Darkly,2006,,
The Taking of Deborah Logan,2014,,
You Don't Mess with the Zohan,2008,,
Confessions of a Teenage Drama Queen,2004,,
Disenchanted,2022,,
Halloweentown,1998,,
Wicked Little Letters,2023,,
The Smurfs,2011,,
The Sisterhood of the Traveling Pants,2005,,
The Book of Eli,2010,,
Cloudy with a Chance of Meatballs 2,2013,,
The Mummy,2017,,
Moxie,2021,,
A Monster Calls,2016,,
Pain & Gain,2013,,
Tootsie,1982,,
The Hate U Give,2018,,
Turbo,2013,,
Child's Play 2,1990,,
Phone Booth,2002,,
The Witches of Eastwick,1987,,
Whip It,2009,,
The House of the Devil,2009,,
The Brood,1979,,
The Hunt for Red October,1990,,
Crash,2004,,
Charlie's Angels,2019,,
The Fundamentals of Caring,2016,,
"Yes, God, Yes",2019,,
The Kings of Summer,2013,,
101 Dalmatians,1996,,
Gnomeo & Juliet,2011,,
The Mule,2018,,
Guns Akimbo,2019,,
Milk,2008,,
Rocky Balboa,2006,,
Pom Poko,1994,,
The Cloverfield Paradox,2018,,
Water Lilies,2007,,
Duel,1971,,
The Hills Have Eyes,1977,,
21,2008,,
Across the Universe,2007,,
Someone Great,2019,,
Summer of 85,2020,,
Truth or Dare,2018,,
Hotel Transylvania 3: Summer Vacation,2018,,
Repo Man,1984,,
The Passion of the Christ,2004,,
The Expendables,2010,,
Cobweb,2023,,
A Time to Kill,1996,,
Strange Days,1995,,
The Cable Guy,1996,,
Friday the 13th Part III,1982,,
Senior Year,2022,,
The Woman in Black,2012,,
Near Dark,1987,,
Strange World,2022,,
The Souvenir,2019,,
The Perfection,2018,,
Romy and Michele's High School Reunion,1997,,
Blow,2001,,
Spy Kids 3-D: Game Over,2003,,
The Lion King II: Simba's Pride,1998,,
"Angus, Thongs and Perfect Snogging",2008,,
Selma,2014,,
Mistress America,2015,,
The Diary of a Teenage Girl,2015,,
Blades of Glory,2007,,
The Sword in the Stone,1963,,
Billy Madison,1995,,
King Arthur: Legend of the Sword,2017,,
Harold & Kumar Go to White Castle,2004,,
Memoirs of a Geisha,2005,,
The Descendants,2011,,
The Guest,2014,,
Cry-Baby,1990,,
Rampage,2018,,
The Boondock Saints,1999,,
I Used to Be Funny,2023,,
Insidious: Chapter 3,2015,,
The Lost City of Z,2016,,
Star Wars: The Clone Wars,2008,,
Trolls Band Together,2023,,
Migration,2023,,
Escape Room: Tournament of Champions,2021,,
Winnie the Pooh: Blood and Honey,2023,,
The Voyeurs,2021,,
Blue Ruin,2013,,
Inferno,1980,,
#Alive,2020,,
The Hunger,1983,,
Antz,1998,,
What If,2013,,
Stay,2005,,
Michael Clayton,2007,,
A Nightmare on Elm Street,2010,,
The Crow,2024,,
Everest,2015,,
She Said,2022,,
I See You,2019,,
American Pie 2,2001,,
Killing Them Softly,2012,,
Fair Play,2023,,
Angels & Demons,2009,,
Somewhere,2010,,
Fly Me to the Moon,2024,,
Phenomena,1985,,
The Internship,2013,,
Escape from Alcatraz,1979,,
Dumbo,2019,,
A Fish Called Wanda,1988,,
Predator 2,1990,,
Ouija: Origin of Evil,2016,,
Back to Black,2024,,
Jumper,2008,,
Sanctuary,2022,,
Burnt,2015,,
"Honey, I Shrunk the Kids",1989,,
Teenage Mutant Ninja Turtles,2014,,
The Dark Crystal,1982,,
The Reader,2008,,
"Legally Blonde 2: Red, White & Blonde",2003,,
Layer Cake,2004,,
Dogma,1999,,
Battle of the Sexes,2017,,
Lara Croft: Tomb Raider,2001,,
Funny Face,1957,,
Field of Dreams,1989,,
Equilibrium,2002,,
Love Hard,2021,,
Bedtime Stories,2008,,
Exhuma,2024,,
Sound of Freedom,2023,,
Causeway,2022,,
Fatal Attraction,1987,,
Step Up,2006,,
Birth,2004,,
Due Date,2010,,
Spy Kids 2: The Island of Lost Dreams,2002,,
Cannibal Holocaust,1980,,
The Vast of Night,2019,,
It's Kind of a Funny Story,2010,,
Crank,2006,,
The Blackcoat's Daughter,2015,,
The English Patient,1996,,
Bad Teacher,2011,,
Valerie and Her Week of Wonders,1970,,
Cruising,1980,,
Delicatessen,1991,,
Assault on Precinct 13,1976,,
The Tearsmith,2024,,
Tall Girl,2019,,
The Goldfinch,2019,,
What's Your Number?,2011,,
The Mask of Zorro,1998,,
Walk Hard: The Dewey Cox Story,2007,,
One Night in Miami...,2020,,
The Grudge,2004,,
Day of the Dead,1985,,
Richard Jewell,2019,,
The Assistant,2019,,
Tenebre,1982,,
The Dead Zone,1983,,
That's My Boy,2012,,
The First Purge,2018,,
Leave No Trace,2018,,
Mission: Impossible – Dead Reckoning,2023,,
Heretic,2024,,
My Old Ass,2024,,
Gladiator II,2024,,
Time Cut,2024,,
Revolutionary Girl Utena: The Movie,1999,,
Gintama: The Movie 2: The Final Chapter: Be Forever Yorozuya,2013,,
"Ivan the Terrible, Part II: The Boyars' Plot",1958,,
A Tale of Autumn,1998,,
A Real Pain,2024,,
A Different Man,2024,,
Emilia Pérez,2024,,
Crazy Love,1969,,
"Minbo, or the Gentle Art of Japanese Extortion",1992,,
Madame,1988,,
"La Commune (Paris, 1871)",2000,,
Edvard Munch,1974,,
"Blue Mountains, or Unbelievable Story",1983,,
Wolfs,2024,,
My Father's Glory,1990,,
Ninja Scroll,1993,,
